name;polygon
s28_e015_1arc_v3.se;POLYGON((15.5 -28.000138888888888,15.5 -27.5,16.000138888888888 -27.5,16.000138888888888 -28.000138888888888,15.5 -28.000138888888888))
s28_e015_1arc_v3.ne;POLYGON((15.5 -27.5,15.5 -26.99986111111111,16.000138888888888 -26.99986111111111,16.000138888888888 -27.5,15.5 -27.5))
s28_e016_1arc_v3.sw;POLYGON((15.99986111111111 -28.000138888888888,15.99986111111111 -27.5,16.5 -27.5,16.5 -28.000138888888888,15.99986111111111 -28.000138888888888))
s28_e016_1arc_v3.nw;POLYGON((15.99986111111111 -27.5,15.99986111111111 -26.99986111111111,16.5 -26.99986111111111,16.5 -27.5,15.99986111111111 -27.5))
s28_e016_1arc_v3.se;POLYGON((16.5 -28.000138888888888,16.5 -27.5,17.000138888888888 -27.5,17.000138888888888 -28.000138888888888,16.5 -28.000138888888888))
s28_e016_1arc_v3.ne;POLYGON((16.5 -27.5,16.5 -26.99986111111111,17.000138888888888 -26.99986111111111,17.000138888888888 -27.5,16.5 -27.5))
s28_e017_1arc_v3.sw;POLYGON((16.99986111111111 -28.000138888888888,16.99986111111111 -27.5,17.5 -27.5,17.5 -28.000138888888888,16.99986111111111 -28.000138888888888))
s28_e017_1arc_v3.nw;POLYGON((16.99986111111111 -27.5,16.99986111111111 -26.99986111111111,17.5 -26.99986111111111,17.5 -27.5,16.99986111111111 -27.5))
s28_e017_1arc_v3.se;POLYGON((17.5 -28.000138888888888,17.5 -27.5,18.000138888888888 -27.5,18.000138888888888 -28.000138888888888,17.5 -28.000138888888888))
s28_e017_1arc_v3.ne;POLYGON((17.5 -27.5,17.5 -26.99986111111111,18.000138888888888 -26.99986111111111,18.000138888888888 -27.5,17.5 -27.5))
s28_e018_1arc_v3.sw;POLYGON((17.99986111111111 -28.000138888888888,17.99986111111111 -27.5,18.5 -27.5,18.5 -28.000138888888888,17.99986111111111 -28.000138888888888))
s28_e018_1arc_v3.nw;POLYGON((17.99986111111111 -27.5,17.99986111111111 -26.99986111111111,18.5 -26.99986111111111,18.5 -27.5,17.99986111111111 -27.5))
s28_e018_1arc_v3.se;POLYGON((18.5 -28.000138888888888,18.5 -27.5,19.000138888888888 -27.5,19.000138888888888 -28.000138888888888,18.5 -28.000138888888888))
s28_e018_1arc_v3.ne;POLYGON((18.5 -27.5,18.5 -26.99986111111111,19.000138888888888 -26.99986111111111,19.000138888888888 -27.5,18.5 -27.5))
s28_e019_1arc_v3.sw;POLYGON((18.99986111111111 -28.000138888888888,18.99986111111111 -27.5,19.5 -27.5,19.5 -28.000138888888888,18.99986111111111 -28.000138888888888))
s28_e019_1arc_v3.nw;POLYGON((18.99986111111111 -27.5,18.99986111111111 -26.99986111111111,19.5 -26.99986111111111,19.5 -27.5,18.99986111111111 -27.5))
s28_e019_1arc_v3.se;POLYGON((19.5 -28.000138888888888,19.5 -27.5,20.000138888888888 -27.5,20.000138888888888 -28.000138888888888,19.5 -28.000138888888888))
s28_e019_1arc_v3.ne;POLYGON((19.5 -27.5,19.5 -26.99986111111111,20.000138888888888 -26.99986111111111,20.000138888888888 -27.5,19.5 -27.5))
s28_e020_1arc_v3.sw;POLYGON((19.99986111111111 -28.000138888888888,19.99986111111111 -27.5,20.5 -27.5,20.5 -28.000138888888888,19.99986111111111 -28.000138888888888))
s28_e020_1arc_v3.nw;POLYGON((19.99986111111111 -27.5,19.99986111111111 -26.99986111111111,20.5 -26.99986111111111,20.5 -27.5,19.99986111111111 -27.5))
s28_e020_1arc_v3.se;POLYGON((20.5 -28.000138888888888,20.5 -27.5,21.000138888888888 -27.5,21.000138888888888 -28.000138888888888,20.5 -28.000138888888888))
s28_e020_1arc_v3.ne;POLYGON((20.5 -27.5,20.5 -26.99986111111111,21.000138888888888 -26.99986111111111,21.000138888888888 -27.5,20.5 -27.5))
s28_e021_1arc_v3.sw;POLYGON((20.99986111111111 -28.000138888888888,20.99986111111111 -27.5,21.5 -27.5,21.5 -28.000138888888888,20.99986111111111 -28.000138888888888))
s28_e021_1arc_v3.nw;POLYGON((20.99986111111111 -27.5,20.99986111111111 -26.99986111111111,21.5 -26.99986111111111,21.5 -27.5,20.99986111111111 -27.5))
s28_e021_1arc_v3.se;POLYGON((21.5 -28.000138888888888,21.5 -27.5,22.000138888888888 -27.5,22.000138888888888 -28.000138888888888,21.5 -28.000138888888888))
s28_e021_1arc_v3.ne;POLYGON((21.5 -27.5,21.5 -26.99986111111111,22.000138888888888 -26.99986111111111,22.000138888888888 -27.5,21.5 -27.5))
s28_e022_1arc_v3.sw;POLYGON((21.99986111111111 -28.000138888888888,21.99986111111111 -27.5,22.5 -27.5,22.5 -28.000138888888888,21.99986111111111 -28.000138888888888))
s28_e022_1arc_v3.nw;POLYGON((21.99986111111111 -27.5,21.99986111111111 -26.99986111111111,22.5 -26.99986111111111,22.5 -27.5,21.99986111111111 -27.5))
s28_e022_1arc_v3.se;POLYGON((22.5 -28.000138888888888,22.5 -27.5,23.000138888888888 -27.5,23.000138888888888 -28.000138888888888,22.5 -28.000138888888888))
s28_e022_1arc_v3.ne;POLYGON((22.5 -27.5,22.5 -26.99986111111111,23.000138888888888 -26.99986111111111,23.000138888888888 -27.5,22.5 -27.5))
s28_e023_1arc_v3.sw;POLYGON((22.99986111111111 -28.000138888888888,22.99986111111111 -27.5,23.5 -27.5,23.5 -28.000138888888888,22.99986111111111 -28.000138888888888))
s28_e023_1arc_v3.nw;POLYGON((22.99986111111111 -27.5,22.99986111111111 -26.99986111111111,23.5 -26.99986111111111,23.5 -27.5,22.99986111111111 -27.5))
s28_e023_1arc_v3.se;POLYGON((23.5 -28.000138888888888,23.5 -27.5,24.000138888888888 -27.5,24.000138888888888 -28.000138888888888,23.5 -28.000138888888888))
s28_e023_1arc_v3.ne;POLYGON((23.5 -27.5,23.5 -26.99986111111111,24.000138888888888 -26.99986111111111,24.000138888888888 -27.5,23.5 -27.5))
s28_e024_1arc_v3.sw;POLYGON((23.99986111111111 -28.000138888888888,23.99986111111111 -27.5,24.5 -27.5,24.5 -28.000138888888888,23.99986111111111 -28.000138888888888))
s28_e024_1arc_v3.nw;POLYGON((23.99986111111111 -27.5,23.99986111111111 -26.99986111111111,24.5 -26.99986111111111,24.5 -27.5,23.99986111111111 -27.5))
s28_e024_1arc_v3.se;POLYGON((24.5 -28.000138888888888,24.5 -27.5,25.000138888888888 -27.5,25.000138888888888 -28.000138888888888,24.5 -28.000138888888888))
s28_e024_1arc_v3.ne;POLYGON((24.5 -27.5,24.5 -26.99986111111111,25.000138888888888 -26.99986111111111,25.000138888888888 -27.5,24.5 -27.5))
s28_e025_1arc_v3.sw;POLYGON((24.99986111111111 -28.000138888888888,24.99986111111111 -27.5,25.5 -27.5,25.5 -28.000138888888888,24.99986111111111 -28.000138888888888))
s28_e025_1arc_v3.nw;POLYGON((24.99986111111111 -27.5,24.99986111111111 -26.99986111111111,25.5 -26.99986111111111,25.5 -27.5,24.99986111111111 -27.5))
s28_e025_1arc_v3.se;POLYGON((25.5 -28.000138888888888,25.5 -27.5,26.000138888888888 -27.5,26.000138888888888 -28.000138888888888,25.5 -28.000138888888888))
s28_e025_1arc_v3.ne;POLYGON((25.5 -27.5,25.5 -26.99986111111111,26.000138888888888 -26.99986111111111,26.000138888888888 -27.5,25.5 -27.5))
s28_e026_1arc_v3.sw;POLYGON((25.99986111111111 -28.000138888888888,25.99986111111111 -27.5,26.5 -27.5,26.5 -28.000138888888888,25.99986111111111 -28.000138888888888))
s28_e026_1arc_v3.nw;POLYGON((25.99986111111111 -27.5,25.99986111111111 -26.99986111111111,26.5 -26.99986111111111,26.5 -27.5,25.99986111111111 -27.5))
s28_e026_1arc_v3.se;POLYGON((26.5 -28.000138888888888,26.5 -27.5,27.000138888888888 -27.5,27.000138888888888 -28.000138888888888,26.5 -28.000138888888888))
s28_e026_1arc_v3.ne;POLYGON((26.5 -27.5,26.5 -26.99986111111111,27.000138888888888 -26.99986111111111,27.000138888888888 -27.5,26.5 -27.5))
s28_e027_1arc_v3.sw;POLYGON((26.99986111111111 -28.000138888888888,26.99986111111111 -27.5,27.5 -27.5,27.5 -28.000138888888888,26.99986111111111 -28.000138888888888))
s28_e027_1arc_v3.nw;POLYGON((26.99986111111111 -27.5,26.99986111111111 -26.99986111111111,27.5 -26.99986111111111,27.5 -27.5,26.99986111111111 -27.5))
s28_e027_1arc_v3.se;POLYGON((27.5 -28.000138888888888,27.5 -27.5,28.000138888888888 -27.5,28.000138888888888 -28.000138888888888,27.5 -28.000138888888888))
s28_e027_1arc_v3.ne;POLYGON((27.5 -27.5,27.5 -26.99986111111111,28.000138888888888 -26.99986111111111,28.000138888888888 -27.5,27.5 -27.5))
s28_e028_1arc_v3.sw;POLYGON((27.99986111111111 -28.000138888888888,27.99986111111111 -27.5,28.5 -27.5,28.5 -28.000138888888888,27.99986111111111 -28.000138888888888))
s28_e028_1arc_v3.nw;POLYGON((27.99986111111111 -27.5,27.99986111111111 -26.99986111111111,28.5 -26.99986111111111,28.5 -27.5,27.99986111111111 -27.5))
s28_e028_1arc_v3.se;POLYGON((28.5 -28.000138888888888,28.5 -27.5,29.000138888888888 -27.5,29.000138888888888 -28.000138888888888,28.5 -28.000138888888888))
s28_e028_1arc_v3.ne;POLYGON((28.5 -27.5,28.5 -26.99986111111111,29.000138888888888 -26.99986111111111,29.000138888888888 -27.5,28.5 -27.5))
s28_e029_1arc_v3.sw;POLYGON((28.99986111111111 -28.000138888888888,28.99986111111111 -27.5,29.5 -27.5,29.5 -28.000138888888888,28.99986111111111 -28.000138888888888))
s28_e029_1arc_v3.nw;POLYGON((28.99986111111111 -27.5,28.99986111111111 -26.99986111111111,29.5 -26.99986111111111,29.5 -27.5,28.99986111111111 -27.5))
s28_e029_1arc_v3.se;POLYGON((29.5 -28.000138888888888,29.5 -27.5,30.000138888888888 -27.5,30.000138888888888 -28.000138888888888,29.5 -28.000138888888888))
s28_e029_1arc_v3.ne;POLYGON((29.5 -27.5,29.5 -26.99986111111111,30.000138888888888 -26.99986111111111,30.000138888888888 -27.5,29.5 -27.5))
s28_e030_1arc_v3.sw;POLYGON((29.99986111111111 -28.000138888888888,29.99986111111111 -27.5,30.5 -27.5,30.5 -28.000138888888888,29.99986111111111 -28.000138888888888))
s28_e030_1arc_v3.nw;POLYGON((29.99986111111111 -27.5,29.99986111111111 -26.99986111111111,30.5 -26.99986111111111,30.5 -27.5,29.99986111111111 -27.5))
s28_e030_1arc_v3.se;POLYGON((30.5 -28.000138888888888,30.5 -27.5,31.000138888888888 -27.5,31.000138888888888 -28.000138888888888,30.5 -28.000138888888888))
s28_e030_1arc_v3.ne;POLYGON((30.5 -27.5,30.5 -26.99986111111111,31.000138888888888 -26.99986111111111,31.000138888888888 -27.5,30.5 -27.5))
s28_e031_1arc_v3.sw;POLYGON((30.99986111111111 -28.000138888888888,30.99986111111111 -27.5,31.499999999999996 -27.5,31.499999999999996 -28.000138888888888,30.99986111111111 -28.000138888888888))
s28_e031_1arc_v3.nw;POLYGON((30.99986111111111 -27.5,30.99986111111111 -26.99986111111111,31.499999999999996 -26.99986111111111,31.499999999999996 -27.5,30.99986111111111 -27.5))
s28_e031_1arc_v3.se;POLYGON((31.499999999999996 -28.000138888888888,31.499999999999996 -27.5,32.000138888888884 -27.5,32.000138888888884 -28.000138888888888,31.499999999999996 -28.000138888888888))
s28_e031_1arc_v3.ne;POLYGON((31.499999999999996 -27.5,31.499999999999996 -26.99986111111111,32.000138888888884 -26.99986111111111,32.000138888888884 -27.5,31.499999999999996 -27.5))
s28_e032_1arc_v3.sw;POLYGON((31.99986111111111 -28.000138888888888,31.99986111111111 -27.5,32.5 -27.5,32.5 -28.000138888888888,31.99986111111111 -28.000138888888888))
s28_e032_1arc_v3.nw;POLYGON((31.99986111111111 -27.5,31.99986111111111 -26.99986111111111,32.5 -26.99986111111111,32.5 -27.5,31.99986111111111 -27.5))
s28_e032_1arc_v3.se;POLYGON((32.5 -28.000138888888888,32.5 -27.5,33.000138888888884 -27.5,33.000138888888884 -28.000138888888888,32.5 -28.000138888888888))
s28_e032_1arc_v3.ne;POLYGON((32.5 -27.5,32.5 -26.99986111111111,33.000138888888884 -26.99986111111111,33.000138888888884 -27.5,32.5 -27.5))
s29_e015_1arc_v3.sw;POLYGON((14.99986111111111 -29.000138888888888,14.99986111111111 -28.5,15.5 -28.5,15.5 -29.000138888888888,14.99986111111111 -29.000138888888888))
s29_e015_1arc_v3.nw;POLYGON((14.99986111111111 -28.5,14.99986111111111 -27.99986111111111,15.5 -27.99986111111111,15.5 -28.5,14.99986111111111 -28.5))
s29_e015_1arc_v3.se;POLYGON((15.5 -29.000138888888888,15.5 -28.5,16.000138888888888 -28.5,16.000138888888888 -29.000138888888888,15.5 -29.000138888888888))
s29_e015_1arc_v3.ne;POLYGON((15.5 -28.5,15.5 -27.99986111111111,16.000138888888888 -27.99986111111111,16.000138888888888 -28.5,15.5 -28.5))
s29_e016_1arc_v3.sw;POLYGON((15.99986111111111 -29.000138888888888,15.99986111111111 -28.5,16.5 -28.5,16.5 -29.000138888888888,15.99986111111111 -29.000138888888888))
s29_e016_1arc_v3.nw;POLYGON((15.99986111111111 -28.5,15.99986111111111 -27.99986111111111,16.5 -27.99986111111111,16.5 -28.5,15.99986111111111 -28.5))
s29_e016_1arc_v3.se;POLYGON((16.5 -29.000138888888888,16.5 -28.5,17.000138888888888 -28.5,17.000138888888888 -29.000138888888888,16.5 -29.000138888888888))
s29_e016_1arc_v3.ne;POLYGON((16.5 -28.5,16.5 -27.99986111111111,17.000138888888888 -27.99986111111111,17.000138888888888 -28.5,16.5 -28.5))
s29_e017_1arc_v3.sw;POLYGON((16.99986111111111 -29.000138888888888,16.99986111111111 -28.5,17.5 -28.5,17.5 -29.000138888888888,16.99986111111111 -29.000138888888888))
s29_e017_1arc_v3.nw;POLYGON((16.99986111111111 -28.5,16.99986111111111 -27.99986111111111,17.5 -27.99986111111111,17.5 -28.5,16.99986111111111 -28.5))
s29_e017_1arc_v3.se;POLYGON((17.5 -29.000138888888888,17.5 -28.5,18.000138888888888 -28.5,18.000138888888888 -29.000138888888888,17.5 -29.000138888888888))
s29_e017_1arc_v3.ne;POLYGON((17.5 -28.5,17.5 -27.99986111111111,18.000138888888888 -27.99986111111111,18.000138888888888 -28.5,17.5 -28.5))
s29_e018_1arc_v3.sw;POLYGON((17.99986111111111 -29.000138888888888,17.99986111111111 -28.5,18.5 -28.5,18.5 -29.000138888888888,17.99986111111111 -29.000138888888888))
s29_e018_1arc_v3.nw;POLYGON((17.99986111111111 -28.5,17.99986111111111 -27.99986111111111,18.5 -27.99986111111111,18.5 -28.5,17.99986111111111 -28.5))
s29_e018_1arc_v3.se;POLYGON((18.5 -29.000138888888888,18.5 -28.5,19.000138888888888 -28.5,19.000138888888888 -29.000138888888888,18.5 -29.000138888888888))
s29_e018_1arc_v3.ne;POLYGON((18.5 -28.5,18.5 -27.99986111111111,19.000138888888888 -27.99986111111111,19.000138888888888 -28.5,18.5 -28.5))
s29_e019_1arc_v3.sw;POLYGON((18.99986111111111 -29.000138888888888,18.99986111111111 -28.5,19.5 -28.5,19.5 -29.000138888888888,18.99986111111111 -29.000138888888888))
s29_e019_1arc_v3.nw;POLYGON((18.99986111111111 -28.5,18.99986111111111 -27.99986111111111,19.5 -27.99986111111111,19.5 -28.5,18.99986111111111 -28.5))
s29_e019_1arc_v3.se;POLYGON((19.5 -29.000138888888888,19.5 -28.5,20.000138888888888 -28.5,20.000138888888888 -29.000138888888888,19.5 -29.000138888888888))
s29_e019_1arc_v3.ne;POLYGON((19.5 -28.5,19.5 -27.99986111111111,20.000138888888888 -27.99986111111111,20.000138888888888 -28.5,19.5 -28.5))
s29_e020_1arc_v3.sw;POLYGON((19.99986111111111 -29.000138888888888,19.99986111111111 -28.5,20.5 -28.5,20.5 -29.000138888888888,19.99986111111111 -29.000138888888888))
s29_e020_1arc_v3.nw;POLYGON((19.99986111111111 -28.5,19.99986111111111 -27.99986111111111,20.5 -27.99986111111111,20.5 -28.5,19.99986111111111 -28.5))
s29_e020_1arc_v3.se;POLYGON((20.5 -29.000138888888888,20.5 -28.5,21.000138888888888 -28.5,21.000138888888888 -29.000138888888888,20.5 -29.000138888888888))
s29_e020_1arc_v3.ne;POLYGON((20.5 -28.5,20.5 -27.99986111111111,21.000138888888888 -27.99986111111111,21.000138888888888 -28.5,20.5 -28.5))
s29_e021_1arc_v3.sw;POLYGON((20.99986111111111 -29.000138888888888,20.99986111111111 -28.5,21.5 -28.5,21.5 -29.000138888888888,20.99986111111111 -29.000138888888888))
s29_e021_1arc_v3.nw;POLYGON((20.99986111111111 -28.5,20.99986111111111 -27.99986111111111,21.5 -27.99986111111111,21.5 -28.5,20.99986111111111 -28.5))
s29_e021_1arc_v3.se;POLYGON((21.5 -29.000138888888888,21.5 -28.5,22.000138888888888 -28.5,22.000138888888888 -29.000138888888888,21.5 -29.000138888888888))
s29_e021_1arc_v3.ne;POLYGON((21.5 -28.5,21.5 -27.99986111111111,22.000138888888888 -27.99986111111111,22.000138888888888 -28.5,21.5 -28.5))
s29_e022_1arc_v3.sw;POLYGON((21.99986111111111 -29.000138888888888,21.99986111111111 -28.5,22.5 -28.5,22.5 -29.000138888888888,21.99986111111111 -29.000138888888888))
s29_e022_1arc_v3.nw;POLYGON((21.99986111111111 -28.5,21.99986111111111 -27.99986111111111,22.5 -27.99986111111111,22.5 -28.5,21.99986111111111 -28.5))
s29_e022_1arc_v3.se;POLYGON((22.5 -29.000138888888888,22.5 -28.5,23.000138888888888 -28.5,23.000138888888888 -29.000138888888888,22.5 -29.000138888888888))
s29_e022_1arc_v3.ne;POLYGON((22.5 -28.5,22.5 -27.99986111111111,23.000138888888888 -27.99986111111111,23.000138888888888 -28.5,22.5 -28.5))
s29_e023_1arc_v3.sw;POLYGON((22.99986111111111 -29.000138888888888,22.99986111111111 -28.5,23.5 -28.5,23.5 -29.000138888888888,22.99986111111111 -29.000138888888888))
s29_e023_1arc_v3.nw;POLYGON((22.99986111111111 -28.5,22.99986111111111 -27.99986111111111,23.5 -27.99986111111111,23.5 -28.5,22.99986111111111 -28.5))
s29_e023_1arc_v3.se;POLYGON((23.5 -29.000138888888888,23.5 -28.5,24.000138888888888 -28.5,24.000138888888888 -29.000138888888888,23.5 -29.000138888888888))
s29_e023_1arc_v3.ne;POLYGON((23.5 -28.5,23.5 -27.99986111111111,24.000138888888888 -27.99986111111111,24.000138888888888 -28.5,23.5 -28.5))
s29_e024_1arc_v3.sw;POLYGON((23.99986111111111 -29.000138888888888,23.99986111111111 -28.5,24.5 -28.5,24.5 -29.000138888888888,23.99986111111111 -29.000138888888888))
s29_e024_1arc_v3.nw;POLYGON((23.99986111111111 -28.5,23.99986111111111 -27.99986111111111,24.5 -27.99986111111111,24.5 -28.5,23.99986111111111 -28.5))
s29_e024_1arc_v3.se;POLYGON((24.5 -29.000138888888888,24.5 -28.5,25.000138888888888 -28.5,25.000138888888888 -29.000138888888888,24.5 -29.000138888888888))
s29_e024_1arc_v3.ne;POLYGON((24.5 -28.5,24.5 -27.99986111111111,25.000138888888888 -27.99986111111111,25.000138888888888 -28.5,24.5 -28.5))
s29_e025_1arc_v3.sw;POLYGON((24.99986111111111 -29.000138888888888,24.99986111111111 -28.5,25.5 -28.5,25.5 -29.000138888888888,24.99986111111111 -29.000138888888888))
s29_e025_1arc_v3.nw;POLYGON((24.99986111111111 -28.5,24.99986111111111 -27.99986111111111,25.5 -27.99986111111111,25.5 -28.5,24.99986111111111 -28.5))
s29_e025_1arc_v3.se;POLYGON((25.5 -29.000138888888888,25.5 -28.5,26.000138888888888 -28.5,26.000138888888888 -29.000138888888888,25.5 -29.000138888888888))
s29_e025_1arc_v3.ne;POLYGON((25.5 -28.5,25.5 -27.99986111111111,26.000138888888888 -27.99986111111111,26.000138888888888 -28.5,25.5 -28.5))
s29_e026_1arc_v3.sw;POLYGON((25.99986111111111 -29.000138888888888,25.99986111111111 -28.5,26.5 -28.5,26.5 -29.000138888888888,25.99986111111111 -29.000138888888888))
s29_e026_1arc_v3.nw;POLYGON((25.99986111111111 -28.5,25.99986111111111 -27.99986111111111,26.5 -27.99986111111111,26.5 -28.5,25.99986111111111 -28.5))
s29_e026_1arc_v3.se;POLYGON((26.5 -29.000138888888888,26.5 -28.5,27.000138888888888 -28.5,27.000138888888888 -29.000138888888888,26.5 -29.000138888888888))
s29_e026_1arc_v3.ne;POLYGON((26.5 -28.5,26.5 -27.99986111111111,27.000138888888888 -27.99986111111111,27.000138888888888 -28.5,26.5 -28.5))
s29_e027_1arc_v3.sw;POLYGON((26.99986111111111 -29.000138888888888,26.99986111111111 -28.5,27.5 -28.5,27.5 -29.000138888888888,26.99986111111111 -29.000138888888888))
s29_e027_1arc_v3.nw;POLYGON((26.99986111111111 -28.5,26.99986111111111 -27.99986111111111,27.5 -27.99986111111111,27.5 -28.5,26.99986111111111 -28.5))
s29_e027_1arc_v3.se;POLYGON((27.5 -29.000138888888888,27.5 -28.5,28.000138888888888 -28.5,28.000138888888888 -29.000138888888888,27.5 -29.000138888888888))
s29_e027_1arc_v3.ne;POLYGON((27.5 -28.5,27.5 -27.99986111111111,28.000138888888888 -27.99986111111111,28.000138888888888 -28.5,27.5 -28.5))
s29_e028_1arc_v3.sw;POLYGON((27.99986111111111 -29.000138888888888,27.99986111111111 -28.5,28.5 -28.5,28.5 -29.000138888888888,27.99986111111111 -29.000138888888888))
s29_e028_1arc_v3.nw;POLYGON((27.99986111111111 -28.5,27.99986111111111 -27.99986111111111,28.5 -27.99986111111111,28.5 -28.5,27.99986111111111 -28.5))
s29_e028_1arc_v3.se;POLYGON((28.5 -29.000138888888888,28.5 -28.5,29.000138888888888 -28.5,29.000138888888888 -29.000138888888888,28.5 -29.000138888888888))
s29_e028_1arc_v3.ne;POLYGON((28.5 -28.5,28.5 -27.99986111111111,29.000138888888888 -27.99986111111111,29.000138888888888 -28.5,28.5 -28.5))
s29_e029_1arc_v3.sw;POLYGON((28.99986111111111 -29.000138888888888,28.99986111111111 -28.5,29.5 -28.5,29.5 -29.000138888888888,28.99986111111111 -29.000138888888888))
s29_e029_1arc_v3.nw;POLYGON((28.99986111111111 -28.5,28.99986111111111 -27.99986111111111,29.5 -27.99986111111111,29.5 -28.5,28.99986111111111 -28.5))
s29_e029_1arc_v3.se;POLYGON((29.5 -29.000138888888888,29.5 -28.5,30.000138888888888 -28.5,30.000138888888888 -29.000138888888888,29.5 -29.000138888888888))
s29_e029_1arc_v3.ne;POLYGON((29.5 -28.5,29.5 -27.99986111111111,30.000138888888888 -27.99986111111111,30.000138888888888 -28.5,29.5 -28.5))
s29_e030_1arc_v3.sw;POLYGON((29.99986111111111 -29.000138888888888,29.99986111111111 -28.5,30.5 -28.5,30.5 -29.000138888888888,29.99986111111111 -29.000138888888888))
s29_e030_1arc_v3.nw;POLYGON((29.99986111111111 -28.5,29.99986111111111 -27.99986111111111,30.5 -27.99986111111111,30.5 -28.5,29.99986111111111 -28.5))
s29_e030_1arc_v3.se;POLYGON((30.5 -29.000138888888888,30.5 -28.5,31.000138888888888 -28.5,31.000138888888888 -29.000138888888888,30.5 -29.000138888888888))
s29_e030_1arc_v3.ne;POLYGON((30.5 -28.5,30.5 -27.99986111111111,31.000138888888888 -27.99986111111111,31.000138888888888 -28.5,30.5 -28.5))
s29_e031_1arc_v3.sw;POLYGON((30.99986111111111 -29.000138888888888,30.99986111111111 -28.5,31.499999999999996 -28.5,31.499999999999996 -29.000138888888888,30.99986111111111 -29.000138888888888))
s29_e031_1arc_v3.nw;POLYGON((30.99986111111111 -28.5,30.99986111111111 -27.99986111111111,31.499999999999996 -27.99986111111111,31.499999999999996 -28.5,30.99986111111111 -28.5))
s29_e031_1arc_v3.se;POLYGON((31.499999999999996 -29.000138888888888,31.499999999999996 -28.5,32.000138888888884 -28.5,32.000138888888884 -29.000138888888888,31.499999999999996 -29.000138888888888))
s29_e031_1arc_v3.ne;POLYGON((31.499999999999996 -28.5,31.499999999999996 -27.99986111111111,32.000138888888884 -27.99986111111111,32.000138888888884 -28.5,31.499999999999996 -28.5))
s29_e032_1arc_v3.sw;POLYGON((31.99986111111111 -29.000138888888888,31.99986111111111 -28.5,32.5 -28.5,32.5 -29.000138888888888,31.99986111111111 -29.000138888888888))
s29_e032_1arc_v3.nw;POLYGON((31.99986111111111 -28.5,31.99986111111111 -27.99986111111111,32.5 -27.99986111111111,32.5 -28.5,31.99986111111111 -28.5))
s29_e032_1arc_v3.se;POLYGON((32.5 -29.000138888888888,32.5 -28.5,33.000138888888884 -28.5,33.000138888888884 -29.000138888888888,32.5 -29.000138888888888))
s29_e032_1arc_v3.ne;POLYGON((32.5 -28.5,32.5 -27.99986111111111,33.000138888888884 -27.99986111111111,33.000138888888884 -28.5,32.5 -28.5))
s30_e016_1arc_v3.sw;POLYGON((15.99986111111111 -30.000138888888888,15.99986111111111 -29.5,16.5 -29.5,16.5 -30.000138888888888,15.99986111111111 -30.000138888888888))
s30_e016_1arc_v3.nw;POLYGON((15.99986111111111 -29.5,15.99986111111111 -28.99986111111111,16.5 -28.99986111111111,16.5 -29.5,15.99986111111111 -29.5))
s30_e016_1arc_v3.se;POLYGON((16.5 -30.000138888888888,16.5 -29.5,17.000138888888888 -29.5,17.000138888888888 -30.000138888888888,16.5 -30.000138888888888))
s30_e016_1arc_v3.ne;POLYGON((16.5 -29.5,16.5 -28.99986111111111,17.000138888888888 -28.99986111111111,17.000138888888888 -29.5,16.5 -29.5))
s30_e017_1arc_v3.sw;POLYGON((16.99986111111111 -30.000138888888888,16.99986111111111 -29.5,17.5 -29.5,17.5 -30.000138888888888,16.99986111111111 -30.000138888888888))
s30_e017_1arc_v3.nw;POLYGON((16.99986111111111 -29.5,16.99986111111111 -28.99986111111111,17.5 -28.99986111111111,17.5 -29.5,16.99986111111111 -29.5))
s30_e017_1arc_v3.se;POLYGON((17.5 -30.000138888888888,17.5 -29.5,18.000138888888888 -29.5,18.000138888888888 -30.000138888888888,17.5 -30.000138888888888))
s30_e017_1arc_v3.ne;POLYGON((17.5 -29.5,17.5 -28.99986111111111,18.000138888888888 -28.99986111111111,18.000138888888888 -29.5,17.5 -29.5))
s30_e018_1arc_v3.sw;POLYGON((17.99986111111111 -30.000138888888888,17.99986111111111 -29.5,18.5 -29.5,18.5 -30.000138888888888,17.99986111111111 -30.000138888888888))
s30_e018_1arc_v3.nw;POLYGON((17.99986111111111 -29.5,17.99986111111111 -28.99986111111111,18.5 -28.99986111111111,18.5 -29.5,17.99986111111111 -29.5))
s30_e018_1arc_v3.se;POLYGON((18.5 -30.000138888888888,18.5 -29.5,19.000138888888888 -29.5,19.000138888888888 -30.000138888888888,18.5 -30.000138888888888))
s30_e018_1arc_v3.ne;POLYGON((18.5 -29.5,18.5 -28.99986111111111,19.000138888888888 -28.99986111111111,19.000138888888888 -29.5,18.5 -29.5))
s30_e019_1arc_v3.sw;POLYGON((18.99986111111111 -30.000138888888888,18.99986111111111 -29.5,19.5 -29.5,19.5 -30.000138888888888,18.99986111111111 -30.000138888888888))
s30_e019_1arc_v3.nw;POLYGON((18.99986111111111 -29.5,18.99986111111111 -28.99986111111111,19.5 -28.99986111111111,19.5 -29.5,18.99986111111111 -29.5))
s30_e019_1arc_v3.se;POLYGON((19.5 -30.000138888888888,19.5 -29.5,20.000138888888888 -29.5,20.000138888888888 -30.000138888888888,19.5 -30.000138888888888))
s30_e019_1arc_v3.ne;POLYGON((19.5 -29.5,19.5 -28.99986111111111,20.000138888888888 -28.99986111111111,20.000138888888888 -29.5,19.5 -29.5))
